Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
14,20/05/2026,14:26,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",In Progress,High,"[""SW-SALL-001"", ""MOB-LABO-001"", ""PR-LOGI-001""]"
15,25/04/2026,07:13,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,Pending,Medium,"[""MN-RH-001"", ""PH-ADMI-002"", ""MN-RH-002""]"
16,02/02/2026,07:40,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,In Progress,Critical,"[""PC-LOGI-005"", ""PR-RH-002""]"
17,05/01/2026,15:26,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",In Progress,Low,"[""PC-LABO-002"", ""SW-MARK-001"", ""PC-SALL-001"", ""PR-LOGI-001""]"
18,17/03/2026,15:45,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,Closed,High,"[""PC-SALL-004"", ""MN-SALL-004"", ""PR-RH-002"", ""PC-SALL-003""]"
19,10/04/2026,10:58,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,Pending,Critical,"[""PC-SECR-002"", ""PC-BIBL-006""]"
20,18/04/2026,12:59,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Pending,Medium,"[""PC-LOGI-004""]"
21,19/03/2026,16:37,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Closed,Medium,"[""PR-RH-001"", ""MN-MARK-003"", ""MN-DIRE-001"", ""MN-COMP-001""]"
22,23/05/2026,15:24,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Resolved,Medium,"[""SW-RH-001"", ""MN-SALL-003""]"
23,02/03/2026,13:02,Incident,Imprimante hors ligne — file d'attente bloquée,L'imprimante du service comptabilité apparaît hors ligne sur tous les postes. La file d'impression est bloquée avec 17 documents en attente. Redémarrage du spooler inefficace.,Closed,Critical,"[""MN-SALL-003"", ""SW-MARK-003"", ""SW-MARK-002"", ""PC-MAGA-004""]"
24,08/05/2026,07:08,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,Pending,Medium,"[""MN-RH-001""]"
25,27/01/2026,15:58,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,New,Critical,"[""MN-SALL-002"", ""SW-DIRE-002""]"
26,10/02/2026,08:30,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Resolved,Medium,"[""SW-MARK-002"", ""PC-ACCU-004"", ""MN-LABO-001"", ""PH-RH-001""]"
27,18/05/2026,13:20,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",Closed,High,"[""SW-SECR-002""]"
28,19/01/2026,10:40,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Resolved,Medium,"[""MN-SALL-003""]"
29,27/01/2026,17:45,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,New,High,"[""PH-DSI-001"", ""PC-ACCU-011""]"
30,09/01/2026,07:20,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,New,Medium,"[""MN-MAGA-001"", ""MN-MAGA-003"", ""PC-SALL-003""]"
31,05/03/2026,15:26,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,In Progress,Medium,"[""PC-ACCU-004"", ""SW-SALL-001""]"
32,09/04/2026,16:43,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",Closed,High,"[""PC-ACCU-008"", ""MN-SALL-004""]"
33,08/03/2026,14:16,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",New,High,"[""PH-SALL-001"", ""PR-ACCU-003"", ""PC-LABO-003""]"
34,20/01/2026,14:22,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,Resolved,Critical,"[""PH-MARK-001"", ""PC-ACCU-009"", ""MN-SALL-004"", ""PC-SECR-004""]"
35,21/02/2026,13:54,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,New,Medium,"[""SW-RH-001"", ""MN-SALL-002"", ""SW-DIRE-001"", ""PC-JURI-007""]"
36,18/03/2026,07:53,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Closed,Medium,"[""PR-SALL-002""]"
37,14/01/2026,16:47,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,Resolved,Medium,"[""PC-BIBL-005"", ""SW-SALL-002"", ""PC-LABO-004""]"
38,07/03/2026,17:48,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",In Progress,Critical,"[""SW-SALL-001""]"
39,12/01/2026,11:50,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,New,High,"[""PH-SALL-002"", ""PC-MAGA-003"", ""PC-MAGA-002""]"
40,18/03/2026,12:47,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",In Progress,Medium,"[""PR-SALL-001"", ""MN-DIRE-002""]"
41,17/05/2026,15:58,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,In Progress,Medium,"[""PC-JURI-007"", ""MOB-JURI-001"", ""MN-SALL-002"", ""PC-SALL-001""]"
42,01/05/2026,08:09,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,In Progress,Critical,"[""PR-RH-003"", ""MN-DIRE-002"", ""PC-MAGA-002"", ""MN-MAGA-002""]"
43,05/01/2026,11:34,Incident,Disque dur défaillant — erreurs S.M.A.R.T.,CrystalDiskInfo remonte des secteurs réalloués et des erreurs de lecture. Risque de perte de données imminent. Sauvegarde à vérifier avant intervention.,Closed,Medium,"[""SW-JURI-001"", ""MN-COMP-002"", ""SW-COMP-002""]"
44,07/04/2026,08:43,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",Closed,Low,"[""SW-SALL-001"", ""PC-BIBL-005"", ""SW-MARK-001""]"
45,18/01/2026,17:52,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Resolved,Critical,"[""PC-SALL-001"", ""PC-SALL-002"", ""PC-JURI-001"", ""PC-SECR-001""]"
46,20/03/2026,14:07,Incident,Disque dur défaillant — erreurs S.M.A.R.T.,CrystalDiskInfo remonte des secteurs réalloués et des erreurs de lecture. Risque de perte de données imminent. Sauvegarde à vérifier avant intervention.,In Progress,High,"[""MN-SALL-002"", ""MN-SALL-004""]"
47,06/04/2026,17:47,Demande,Ajout RAM — passage de 8 Go à 16 Go,Le responsable DSI demande l'upgrade RAM sur 5 postes du laboratoire IA pour supporter les environnements de développement. Barrettes DDR4 3200MHz à commander.,Pending,High,"[""MN-LOGI-001"", ""SW-DIRE-002""]"
48,27/01/2026,14:39,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Resolved,Low,"[""PC-BIBL-004"", ""MN-DIRE-003"", ""PC-ADMI-003""]"
49,04/04/2026,08:43,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",Pending,Critical,"[""PC-SALL-002"", ""MN-MAGA-002"", ""PC-BIBL-006""]"
50,19/02/2026,08:54,Demande,Mise à jour firmware switch Cisco,Bulletin de sécurité Cisco CVE-2026-1234 affectant les Catalyst 2960-X. Mise à jour IOS 15.2(7)E8 à déployer sur les 2 switches en salle serveur. Intervention en dehors des heures de production.,Closed,Low,"[""SW-SECR-003"", ""SW-COMP-002""]"
51,03/06/2026,07:03,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Resolved,Medium,"[""PR-SALL-002"", ""PC-DSI-002""]"
52,19/01/2026,15:13,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,In Progress,Medium,"[""MOB-MARK-002"", ""PC-SALL-003"", ""SW-LABO-001""]"
53,02/01/2026,11:54,Incident,PC redémarre en boucle après mise à jour,"Suite à la mise à jour KB5025221 déployée cette nuit, plusieurs postes redémarrent en boucle sans atteindre le bureau. Rollback à planifier.",In Progress,High,"[""PC-SALL-002"", ""PC-COMP-002"", ""SW-MARK-003""]"
54,08/01/2026,09:00,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",In Progress,High,"[""PC-ADMI-002"", ""PC-SALL-002"", ""PC-DSI-004""]"
55,15/01/2026,09:47,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Pending,Low,"[""MN-SALL-005""]"
56,26/04/2026,12:32,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,New,High,"[""SW-SALL-002"", ""PC-JURI-001""]"
57,15/05/2026,11:29,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",New,Low,"[""MN-SALL-004"", ""MN-SECR-002"", ""PH-ADMI-001"", ""PC-DIRE-002""]"
58,07/05/2026,18:58,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,New,Low,"[""SW-SALL-001"", ""PC-SALL-003"", ""PC-SALL-003""]"
59,03/02/2026,11:39,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",Pending,High,"[""MN-COMP-002"", ""SW-LABO-001"", ""PR-SALL-001""]"
60,18/03/2026,14:32,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,Closed,Low,"[""SW-DIRE-002""]"
61,23/05/2026,18:55,Incident,Infection malware — comportement anormal,L'antivirus (Sophos) a bloqué une menace de type Trojan.GenericKD. Des pop-ups apparaissent et le navigateur est redirigé. Poste à isoler du réseau immédiatement.,Closed,High,"[""MN-MARK-002"", ""MN-SALL-002""]"
62,28/04/2026,13:26,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",New,Medium,"[""MN-BIBL-001"", ""PH-SALL-001"", ""PC-SALL-003"", ""MN-MAGA-001""]"
63,10/02/2026,17:59,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,New,Low,"[""PC-MAGA-002""]"
64,22/04/2026,08:47,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",Resolved,Medium,"[""SW-MAGA-001""]"
65,25/05/2026,15:21,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",New,High,"[""PH-SALL-001"", ""MOB-DSI-001"", ""MN-LOGI-002""]"
66,15/01/2026,11:38,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Resolved,Low,"[""PC-SALL-001"", ""SW-SALL-001""]"
67,05/05/2026,10:54,Incident,Disque dur défaillant — erreurs S.M.A.R.T.,CrystalDiskInfo remonte des secteurs réalloués et des erreurs de lecture. Risque de perte de données imminent. Sauvegarde à vérifier avant intervention.,Resolved,High,"[""PC-SALL-001"", ""MOB-MARK-001"", ""PC-COMP-003""]"
68,28/05/2026,10:51,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Pending,High,"[""SW-SALL-001""]"
69,11/03/2026,07:11,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,Resolved,Medium,"[""PC-DIRE-001"", ""PC-SALL-004"", ""PC-LOGI-002""]"
70,26/05/2026,17:25,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",In Progress,Critical,"[""PC-MAGA-002""]"
71,17/05/2026,10:24,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Closed,Medium,"[""MN-SALL-001"", ""PC-LOGI-005""]"
72,26/03/2026,16:38,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",New,Medium,"[""MOB-LABO-001"", ""SW-SECR-002""]"
73,14/01/2026,17:05,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,Closed,Critical,"[""MN-RH-002"", ""SW-SALL-001"", ""MN-DIRE-003"", ""MN-LOGI-001""]"
74,12/03/2026,10:48,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,New,Medium,"[""PC-COMP-002"", ""PC-LOGI-004"", ""PH-SALL-001"", ""SW-RH-002""]"
75,06/05/2026,15:42,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,New,Medium,"[""SW-SECR-001"", ""PC-SALL-001"", ""PC-DIRE-001"", ""PC-DSI-002""]"
76,20/03/2026,10:49,Incident,PC redémarre en boucle après mise à jour,"Suite à la mise à jour KB5025221 déployée cette nuit, plusieurs postes redémarrent en boucle sans atteindre le bureau. Rollback à planifier.",Resolved,Medium,"[""PC-LABO-002"", ""PC-DIRE-001"", ""PR-LOGI-001""]"
77,22/04/2026,09:08,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Pending,Critical,"[""PR-BIBL-001"", ""PR-ACCU-004""]"
78,02/04/2026,08:25,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,New,High,"[""MN-MAGA-004""]"
79,21/01/2026,12:36,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Pending,High,"[""PC-SALL-002"", ""PC-SALL-001"", ""MN-ACCU-003"", ""PC-ACCU-002""]"
80,26/03/2026,09:51,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,Closed,Critical,"[""PC-SALL-004"", ""MN-SALL-003"", ""PC-DIRE-002""]"
81,05/03/2026,13:37,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Pending,Low,"[""PC-LOGI-005"", ""MOB-ADMI-001"", ""MN-SALL-002"", ""PC-BIBL-005""]"
82,28/03/2026,09:04,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,New,High,"[""MOB-MARK-002"", ""MN-ACCU-002""]"
83,01/04/2026,18:52,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",In Progress,Medium,"[""PC-SALL-003""]"
84,08/03/2026,10:11,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,In Progress,Critical,"[""PC-SECR-003""]"
85,08/05/2026,14:48,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,Pending,High,"[""SW-SALL-001"", ""MN-BIBL-001"", ""PC-MAGA-004""]"
86,24/04/2026,08:30,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Resolved,Medium,"[""MN-SALL-001""]"
87,11/05/2026,08:19,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Closed,Low,"[""MN-SALL-001""]"
88,16/03/2026,08:41,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,New,High,"[""MN-SALL-004"", ""SW-ADMI-001"", ""PR-RH-002"", ""PH-DIRE-001""]"
89,12/01/2026,14:58,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Pending,Critical,"[""MN-SALL-001"", ""SW-COMP-001""]"
90,03/05/2026,15:09,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",Closed,Low,"[""PH-SALL-001"", ""PC-COMP-001"", ""PR-LOGI-002""]"
91,15/02/2026,07:15,Demande,Ajout RAM — passage de 8 Go à 16 Go,Le responsable DSI demande l'upgrade RAM sur 5 postes du laboratoire IA pour supporter les environnements de développement. Barrettes DDR4 3200MHz à commander.,Closed,High,"[""MN-DIRE-002"", ""MN-MAGA-001""]"
92,15/03/2026,13:26,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,Resolved,Critical,"[""SW-SALL-003""]"
93,28/03/2026,08:21,Incident,Disque dur défaillant — erreurs S.M.A.R.T.,CrystalDiskInfo remonte des secteurs réalloués et des erreurs de lecture. Risque de perte de données imminent. Sauvegarde à vérifier avant intervention.,Pending,Critical,"[""PC-LOGI-004"", ""PC-ACCU-009"", ""PH-LOGI-001"", ""SW-SALL-001""]"
94,05/06/2026,09:21,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",Pending,Critical,"[""MN-ACCU-002"", ""PC-LOGI-005""]"
95,12/04/2026,09:38,Demande,Ajout RAM — passage de 8 Go à 16 Go,Le responsable DSI demande l'upgrade RAM sur 5 postes du laboratoire IA pour supporter les environnements de développement. Barrettes DDR4 3200MHz à commander.,New,Medium,"[""SW-SECR-003"", ""MN-LABO-001"", ""PC-BIBL-002"", ""PH-JURI-001""]"
